,N.º,Serie,Director,A�o,Recaudaci�n en otros paises,Recaudaci�n en Espa�a
0,1,Los otros,Alejandro Amenábar,2001,209947037,56194668
1,2,Lo imposible,Juan Antonio Bayona,2012,180274123,42444290
2,3,Planet 51,Jorge Blanco,2009,105647102,36146627
3,4,Volver,Pedro Almodóvar,2006,85585177,27254163
4,5,El laberinto del fauno,Guillermo del Toro,2006,83258226,26507290
5,6,El orfanato,Juan Antonio Bayona,2007,78638987,25061449
6,7,Ocho apellidos vascos,Emilio Martínez-Lázaro,2014,77456713,22847733
7,8,Todo sobre mi madre,Pedro Almodóvar,1999,67872296,22142173
8,9,Las aventuras de Tadeo Jones,Enrique Gato,2012,60800000,21391197
9,10,Hable con ella,Pedro Almodóvar,2002,51001550,21337147
