
N.º ",Pelicula ,Distribuidora (s) ,Taquilla (Estados Unidos) ,Taquilla (fuera de EE.UU) ,Presupuesto ,Año de estreno ,Director (es) 
1,Avatar ,20th Century Fox ,$785 221 649 ,$2 138 484 377 ,$237 000 000 ,2009 ,James Cameron 
2,Avengers: Endgame ,Walt Disney Studios Motion Pictures ,$858373000 ,$1941066100 ,$356000000 ,2019 ,Anthony y Joe Russo 
3,Avatar: The Way of Water ,Walt Disney Studios Motion Pictures ,$678 465 888 ,"$1 625 718 655 
",$350 000 000-460 000 000 ,2022 ,James Cameron 
4,Titanic ,20th Century Fox / Paramount Pictures ,$674292608,$1581800034 ,$200000000 ,1997 ,James Cameron 
5,Star Wars: Episodio VII - El despertar de la Fuerza ,Walt Disney Studios Motion Pictures ,$936662225 ,$1134647993 ,$245000000 ,2015 ,J. J. Abrams 
6,Avengers: Infinity War ,Walt Disney Studios Motion Pictures ,$678815482 ,$1373599557 ,$356000000 ,2018 ,Anthony y Joe Russo 
7,Spider-Man: No Way Home ,Sony Pictures Releasing ,$814 115 070 ,$1 107 732 041 ,$200 000 000 ,2021 ,Jon Watts 
8,Jurassic World ,Universal Pictures ,$653406625 ,$1018130819 ,$150000000 ,2015 ,Colin Trevorrow 
9,El rey leon ,Walt Disney Studios Motion Pictures ,$543 638 043 ,$1 119 437 358 ,$260000000 ,2019 ,Jon Favreau 
10,The Avengers ,Walt Disney Studios Motion Pictures ,$623357910 ,$897180626 ,$220000000 ,2012 ,Joss Whedon 
11,Fast and Furious 7 ,Universal Pictures ,$353007020 ,$1162334379 ,$190000000 ,2015 ,James Wan 
12,Top Gun: Maverick ,Paramount Pictures ,$718 732 821 ,$770 000 000 ,$170 000 000 ,2022 ,Joseph Kosinski 
13,Frozen II ,Walt Disney Studios Motion Pictures ,$477373578 ,$976309898 ,$150000000 ,2019 ,"Chris Buck, Jennifer Lee "
14,Avengers: Age of Ultron ,Walt Disney Studios Motion Pictures ,$459 005 868 ,$946 012 180 ,$250 000 000 ,2015 ,Joss Whedon 
15,Black Panther ,Walt Disney Studios Motion Pictures ,$700 426 566 ,$649 499 517 ,$200000000 ,2018 ,Ryan Coogler 
16,Harry Potter y las reliquias de la muerte: parte 2 ,Warner Bros. Pictures ,$381 447 587 ,$960 912 354 ,$250000000 ,2011 ,David Yates 
17,Star Wars: Episodio VIII - Los ultimos Jedi ,Walt Disney Studios Motion Pictures ,$620 181 382 ,$714 226 324 ,$317000000 ,2017 ,Rian Johnson 
18,Jurassic World: El reino caido ,Universal Pictures ,$417719760 ,$892 746 536 ,$170000000 ,2018 ,John Bayona 
19,Frozen ,Walt Disney Studios Motion Pictures ,$400 953 009 ,$883 587 509 ,$150000000 ,2013 ,"Chris Buck, Jennifer Lee "
20,La bella y la bestia ,Walt Disney Studios Motion Pictures ,$504 481 165 ,$761634799 ,$160000000 ,2017 ,Bill Condon
